"url","name","location","rating","review"
"http://www.ulta.com/professional-blending-brush?productId=xlsImpprod15361023","Alexa","Lafayette la",2,"It's ok"
"http://www.ulta.com/professional-blending-brush?productId=xlsImpprod15361023","Nana","Temple TX",5,"I use it to apply my Revlon liquid foundation as well as blending out under eye concealer. It works very well"
"http://www.ulta.com/professional-blending-brush?productId=xlsImpprod15361023","Wild Llama","Vancouver, wa",5,"Used it for foundation and anti redness creme and it worked well for me."
"http://www.ulta.com/professional-blending-brush?productId=xlsImpprod15361023","Pinky","Atlanta, GA",4,"Not too bad, easy to use, ergonomic.  Would make the sponge a tad bigger, but liquid makeup went on smoothly and streak free."
"http://www.ulta.com/professional-blending-brush?productId=xlsImpprod15361023","Ali","Texas",5,"I love all revlon products.."
"http://www.ulta.com/professional-blending-brush?productId=xlsImpprod15361023","Makeup Gal","Augusta, Ga",1,"This was NOT what I was expecting. It left my makeup very streaking &amp; sucked up a lot of my product."
