"url","name","location","rating","review"
"http://www.ulta.com/large-10-12-hand-mirror?productId=xlsImpprod3900615","Leslie","Overland Park, KS",5,"This is a quality mirror. Inexpensive, beautiful, feels good. Glad I bought it and I like using it. It has a pretty color and it's user friendly. Fits like a glove. Joy to own."
"http://www.ulta.com/large-10-12-hand-mirror?productId=xlsImpprod3900615","redfear","salt lake city, ut",5,"works well, needed it for makeup and to see back of hair"
"http://www.ulta.com/large-10-12-hand-mirror?productId=xlsImpprod3900615","Baba","Forest Hill, MD",5,"The rrubberized frame around the mirror and handle make it comfortable to hold as well as make it durable if you bump it or drop it."
"http://www.ulta.com/large-10-12-hand-mirror?productId=xlsImpprod3900615","Markat","Portland, OR",4,"I like the size and sturdiness of this mirror and the way the handle feels.  I bought a second mirror so I can leave one of them in my suitcase ready to go for my next travel adventure."
"http://www.ulta.com/large-10-12-hand-mirror?productId=xlsImpprod3900615","Brenda the reader","Daphne al",5,"I use it to pull hairs around my chin."
"http://www.ulta.com/large-10-12-hand-mirror?productId=xlsImpprod3900615","I'm Bananas","Wyoming",4,"The size is perfect to see back of head and how hair looks.  Light weight.  Drop proof!"
"http://www.ulta.com/large-10-12-hand-mirror?productId=xlsImpprod3900615","firekracker923","Cleveland, OH",5,"This is a very nice mirror for the price. Easy to grip and very clear image."
"http://www.ulta.com/large-10-12-hand-mirror?productId=xlsImpprod3900615","Paty","Fort Worth tx",3,"One side is fine, but the other side mirror to much"
"http://www.ulta.com/large-10-12-hand-mirror?productId=xlsImpprod3900615","JanB","Atlanta",4,"This is a very handy mirror. It is regular view on one side and magnifier on the other.  It is just the right size to hold in your hand."
"http://www.ulta.com/large-10-12-hand-mirror?productId=xlsImpprod3900615","Moni","Houston, Texas",5,"I like the mirror."
"http://www.ulta.com/large-10-12-hand-mirror?productId=xlsImpprod3900615","Jules","Sarasota, FL",5,"Perfect"
"http://www.ulta.com/large-10-12-hand-mirror?productId=xlsImpprod3900615","Janet","Port St. Lucie, FL",1,"This may suit someone, but I felt like I was cross-eyed looking through the mirror.  I am going to return it."
"http://www.ulta.com/large-10-12-hand-mirror?productId=xlsImpprod3900615","Jess","Crown Point, IN",5,"This mirror does exactly what I need it to do. I like that it also has a magnified side."
"http://www.ulta.com/large-10-12-hand-mirror?productId=xlsImpprod3900615","Charlie","New York",5,"Nice and simple design.  Very pleased"
"http://www.ulta.com/large-10-12-hand-mirror?productId=xlsImpprod3900615","Amanda","Irving, TX",4,"I use this product to put my make up on, tweeze eyebrows, see the back of my hair... I like the rubber grip in the handle"
