"url","name","location","rating","review"
"http://www.ulta.com/extra-curl-eyelash-curler?productId=xlsImpprod1380130","Angelina","Danbury",5,"Very good"
"http://www.ulta.com/extra-curl-eyelash-curler?productId=xlsImpprod1380130","Ulta shopper","Portland or",1,"I did not like this product, it isn't useful and it's hard to use. I wouldn't recommend anyone to buy it."
"http://www.ulta.com/extra-curl-eyelash-curler?productId=xlsImpprod1380130","Lab","Florida",3,"Doesn't curl"
"http://www.ulta.com/extra-curl-eyelash-curler?productId=xlsImpprod1380130","Lisa","mount pleasant, sc",5,"curls eyelashes great"
"http://www.ulta.com/extra-curl-eyelash-curler?productId=xlsImpprod1380130","Michele","Salt Lake City, UT",4,"Gets the job done. But expected a quick curl at first try. With my natural lash type, it takes me a few tries and pumps to get my lashes curled to my liking."
"http://www.ulta.com/extra-curl-eyelash-curler?productId=xlsImpprod1380130","ugh","Georgia",3,"Not very happy with the product."
"http://www.ulta.com/extra-curl-eyelash-curler?productId=xlsImpprod1380130","kerri","nj",1,"didnt curl well .. was stiff and didnt work"
"http://www.ulta.com/extra-curl-eyelash-curler?productId=xlsImpprod1380130","Busy Mom of Four","Forney, TX",5,"I have long eyelashes and this curler gives amazing results. It allows me to get a dramatic curl without losing any length or having a sharp bend in my lashes. The design is simple and comfortable. As well as affordable."
"http://www.ulta.com/extra-curl-eyelash-curler?productId=xlsImpprod1380130","Danielle","Rochester, NY",5,"Tried another more expensive brand and hated it. Returned and went back to my favorite Revlon Eyelash Curler. Will never buy another brand again."
"http://www.ulta.com/extra-curl-eyelash-curler?productId=xlsImpprod1380130","Donna","Niagara falls",5,"Works great"
"http://www.ulta.com/extra-curl-eyelash-curler?productId=xlsImpprod1380130","None","Hammond,La70454",1,"Doesn't curl well."
"http://www.ulta.com/extra-curl-eyelash-curler?productId=xlsImpprod1380130","Mercedes","Orlando Florida",1,"I bought this one after my old brand less one got old nasty and was taking off my eyelashes (I know I should have replaced it awhile back my fault ) but this one didn't even grab my eyelashes let alone curl it. I'm going to have to go and find something better"
